file	category	interpreter	interpreter+shim	jvm+shim	wasm+shim	missing-names-used
chapter4/section4/subsection4/16_find_assertions.scm	fragment	1	ok	ok	ok	cons-stream,delay,false,force,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream
chapter4/section4/subsection4/17_check_an_assertion.scm	fragment	ok	ok	ok	ok	cons-stream,false,the-empty-stream
chapter4/section4/subsection4/18_pattern_match.scm	fragment	ok	ok	ok	ok	false
chapter4/section4/subsection4/19_extend_if_consistent.scm	fragment	ok	ok	ok	ok	false
chapter4/section4/subsection4/20_apply_rules.scm	fragment	1	ok	ok	ok	cons-stream,delay,false,force,stream-append,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream,true
chapter4/section4/subsection4/21_apply_a_rule.scm	fragment	ok	ok	ok	ok	cons-stream,false,the-empty-stream,true
chapter4/section4/subsection4/22_rename_variables_in.scm	fragment	ok	ok	ok	ok	
chapter4/section4/subsection4/23_unify_match.scm	fragment	ok	ok	ok	ok	false,true
chapter4/section4/subsection4/24_extend_if_possible.scm	fragment	ok	ok	ok	ok	false,true
chapter4/section4/subsection4/25_depends_on.scm	fragment	ok	ok	ok	ok	false,true
chapter4/section4/subsection4/26_fetch_assertions.scm	fragment	1	ok	ok	ok	false,the-empty-stream
chapter4/section4/subsection4/27_get_stream.scm	scheme	ok	ok	ok	ok	false,the-empty-stream
chapter4/section4/subsection4/28_fetch_rules.scm	fragment	1	ok	ok	ok	false,stream-append,the-empty-stream
chapter4/section4/subsection4/29_add_rule_or_assertion.scm	fragment	1	ok	ok	ok	cons-stream,false,stream-append,the-empty-stream
chapter4/section4/subsection4/30_store_assertion_in_index.scm	fragment	ok	ok	ok	ok	cons-stream,false,the-empty-stream
chapter4/section4/subsection4/31_index_key_of.scm	fragment	ok	ok	ok	ok	
chapter4/section4/subsection4/32_stream_append_delayed.scm	scheme	1	ok	ok	ok	cons-stream,delay,force,stream-car,stream-cdr,stream-null?
chapter4/section4/subsection4/33_stream_flatmap.scm	scheme	1	ok	ok	ok	cons-stream,delay,force,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream
chapter4/section4/subsection4/34_singleton_stream.scm	scheme	ok	ok	ok	ok	cons-stream,the-empty-stream
chapter4/section4/subsection4/35_is_variable_4.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/36_convert_to_query_syntax.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/37_instantiate.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/38_append_to_form_example_5.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/39.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/40.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/41.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/42.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/43.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/44_comma_separated.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/45.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/46.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/47_type.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/48_is_assertion.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/49_is_empty_conjunction.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/50_is_rule.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/51_make_binding.scm	scheme	ok	ok	ok	ok	false
chapter4/section4/subsection4/52_sum_of_squares_in_lp.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection1/01_gcd_controller_example.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection1/02_gcd_controller_declaration.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection1/03_gcd_controller_construction.scm	fragment	1	1	-	-	
chapter5/section1/subsection1/04_controller.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection1/05_gcd_with_prompt.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection1/06_gcd_with_prompt_example.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection1/07_gcd_with_prompt_declaration.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection2/01_remainder_example.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection2/02_remainder.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection2/03_gcd_elaborated.scm	fragment	1	1	-	-	
chapter5/section1/subsection2/04_gcd_elaborated_example.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection2/05_gcd_elaborated_declaration.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection2/06.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/01_factorial_5_1_4.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/02_gcd_5_1_4_example.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/03_gcd_5_1_4.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/04_factorial_recursive_example.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/05_factorial_recursive_declaration.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/06_fib_5_1_4_example.scm	fragment	1	1	-	-	
chapter5/section1/subsection4/07_fib_5_1_4.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/08_fib_recursive_example.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/09_fib_recursive_declaration.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/10_expt_5_1_4.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/11_expt_5_1_4_example.scm	scheme	ok	ok	ok	ok	
chapter5/section1/subsection4/12_expt_iterative_5_1_4.scm	scheme	ok	ok	ok	ok	
chapter5/section2/section2/01_gcd_machine_example.scm	scheme	ok	ok	ok	ok	
chapter5/section2/section2/02_gcd_machine.scm	fragment	1	1	-	-	false
chapter5/section2/section2/03_set_register_contents_a.scm	fragment	1	1	-	-	false
chapter5/section2/section2/04_set_register_contents_b.scm	fragment	1	1	-	-	false
chapter5/section2/section2/05_start_gcd_machine.scm	fragment	1	1	-	-	false
chapter5/section2/section2/06_get_register_contents_a.scm	fragment	1	1	-	-	false
chapter5/section2/subsection1/01_gcd_machine_complete_example.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection1/02_make_machine.scm	fragment	ok	ok	ok	ok	false
chapter5/section2/subsection1/03_make_register.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection1/04_get_contents.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection1/05_make_stack.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection1/06.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection1/07_pop.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection1/08_make_new_machine.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection1/09_start.scm	fragment	ok	ok	ok	ok	
chapter5/section2/subsection1/10_get_register.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection2/01_assemble.scm	fragment	ok	ok	ok	ok	false
chapter5/section2/subsection2/02_extract_labels.scm	fragment	ok	ok	ok	ok	
chapter5/section2/subsection2/03_update_insts.scm	fragment	ok	ok	ok	ok	false
chapter5/section2/subsection2/04_make_inst.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection2/05_make_label_entry.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection2/06_lookup_label.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection3/01.scm	fragment	ok	ok	ok	ok	
chapter5/section2/subsection3/02_make_execution_function.scm	fragment	ok	ok	ok	ok	false
chapter5/section2/subsection3/03_type_function.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection3/04_make_assign.scm	fragment	ok	ok	ok	ok	
chapter5/section2/subsection3/05_assign_reg_name.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection3/06_advance_pc.scm	fragment	ok	ok	ok	ok	
chapter5/section2/subsection3/07_make_test.scm	fragment	ok	ok	ok	ok	
chapter5/section2/subsection3/08_test_instruction_syntax.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection3/09_make_branch_5.scm	fragment	ok	ok	ok	ok	
chapter5/section2/subsection3/10_branch_branch_dest.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection3/11_make_go_to.scm	fragment	ok	ok	ok	ok	false
chapter5/section2/subsection3/12_go_to_go_to_dest.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection3/13_make_save.scm	fragment	ok	ok	ok	ok	
chapter5/section2/subsection3/14_save_restore.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection3/15_make_perform.scm	fragment	ok	ok	ok	ok	false
chapter5/section2/subsection3/16_perform_perform_action.scm	scheme	ok	ok	ok	ok	
chapter5/section2/subsection3/17_make_primitive_exp.scm	fragment	ok	ok	ok	ok	
